"Frage";"Antwort A";"Antwort B";"Antwort C";"Antwort D";"Richtige Antwort"
"Wo findet man Regelungen über die Abwicklung des Binnenschifffahrtsfunks?";"Binnenschifffahrtsstraßenordnung";"Regionaler Teil Deutschland des Handbuchs";"BinSchSprFunkV";"Allgemeiner Teil des Handbuchs Binnenschifffahrtsfunk";"Allgemeiner Teil des Handbuchs Binnenschifffahrtsfunk"
"Wo findet man die empfohlenen fremdsprachlichen Redewendungen für die Abwicklung des Binnenschifffahrtsfunks?";"Allgemeiner Teil des Handbuchs";"BinSchSprFunkV";"Binnenschifffahrtsstraßenordnung";"Regionale Teile des Handbuchs";"Regionale Teile des Handbuchs"
"Wozu dient die Internationale Buchstabiertafel im Binnenschifffahrtsfunk?";"Um Informationen zu verschlüsseln";"Zum Buchstabieren schwieriger Wörter, um Übermittlungsfehler zu vermeiden";"Um die Wichtigkeit zu betonen";"Um Vorschriften zu erfüllen";"Zum Buchstabieren schwieriger Wörter, um Übermittlungsfehler zu vermeiden"
"Wo findet man Angaben über die UKW-Kanäle, die in bestimmten Regionen benutzt werden sollen?";"BinSchSprFunkV";"Binnenschifffahrtsstraßenordnung";"Schifffahrtspolizeiverordnungen";"Regionale Teile des Handbuchs";"Regionale Teile des Handbuchs"
"Was bedeutet die Betriebsart Simplex?";"Sprechen mit einem Funkgerät";"Sprechen über Ober- und Unterband";"Wechselsprechen";"Gegensprechen";"Wechselsprechen"
"Wie erfolgt die Verkehrsabwicklung in Simplex?";"Nur Landfunkstelle zu Schiff möglich";"Beide gleichzeitig senden und empfangen";"Jeder Gesprächspartner kann entweder senden oder empfangen";"Nach Vorgaben der Revierzentrale";"Jeder Gesprächspartner kann entweder senden oder empfangen"
"Was bedeutet die Betriebsart Duplex?";"Sprechen auf einer Frequenz";"Sprechen mit zwei Funkgeräten";"Wechselsprechen";"Gegensprechen";"Gegensprechen"
"Was bedeutet Semi-Duplex?";"Gegensprechen auf einem Simplex-Kanal";"Gegensprechen auf einem Duplex-Kanal";"Wechselsprechen auf einem Duplex-Kanal";"Wechselsprechen auf einem Simplex-Kanal";"Wechselsprechen auf einem Duplex-Kanal"
"Warum kann Hörbereitschaft auf zwei Kanälen nicht durch Dual Watch wahrgenommen werden?";"Dual Watch funktioniert nur in bestimmten Verkehrskreisen";"Dual Watch vermindert die Reichweite";"Dual Watch ermöglicht nicht den gleichzeitigen Empfang auf zwei Kanälen";"Dual Watch wertet ATIS nicht aus";"Dual Watch ermöglicht nicht den gleichzeitigen Empfang auf zwei Kanälen"
"Wie erfolgt die Leistungsreduzierung beim Sendebetrieb auf Kanal 10?";"Manuell";"Durch längeres Drücken der Sendetaste";"Automatisch";"Durch die Revierzentrale";"Automatisch"
"Mit welcher Leistung sendet eine Schiffsfunkstelle auf UKW-Kanal 10?";"10 bis 25 Watt";"0,5 bis 25 Watt";"0,5 bis 1 Watt";"2 bis 5 Watt";"0,5 bis 1 Watt"
"Auf welchem UKW-Kanal müssen Schiffsfunkstellen während der Fahrt ständig empfangsbereit sein?";"20";"10";"72";"13";"10"
"Welcher UKW-Kanal darf in den Zonen 3 und 4 nicht benutzt werden?";"10";"72";"77";"16";"16"
"Wozu dienen die UKW-Kanäle 72 und 77 im Binnenschifffahrtsfunk?";"Funkverkehr sozialer Art";"Funkverkehr mit einer Revierzentrale";"Anrufe an eine Schleuse";"Nautische Absprachen";"Funkverkehr sozialer Art"
"Welche UKW-Kanäle dürfen für Nachrichten sozialer Art benutzt werden?";"20 und 22";"06 und 16";"15 und 17";"72 und 77";"72 und 77"
"Welche Fahrzeuge unterliegen an bestimmten Stellen einer Meldepflicht?";"Motorfahrzeuge über 20 m";"Sportboote unter Segel";"Gefahrgutschiffe und Sondertransporte";"Fahrgastschiffe über 20 Passagiere";"Gefahrgutschiffe und Sondertransporte"
"Vor jeder Aussendung ist durch kurzzeitiges Öffnen der Rauschsperre sicherzustellen, dass…";"die Sendeleistung auf 25 Watt eingestellt ist";"der DSC-Controller ausgeschaltet ist";"kein anderer Funkverkehr gestört wird";"die ATIS-Kennung zuvor ausgesendet wird";"kein anderer Funkverkehr gestört wird"
"Die längere Aussendung einer anderen Schiffsfunkstelle auf Kanal 10 kann…";"jederzeit unterbrochen werden";"nicht unterbrochen werden";"nur durch Landfunkstellen unterbrochen werden";"durch Schiffsfunkstellen desselben Verkehrskreises unterbrochen werden";"durch Schiffsfunkstellen desselben Verkehrskreises unterbrochen werden"
"Längere Aussendungen auf Kanal 10 sollen vermieden werden, weil sie…";"den AIS-Empfang stören können";"nicht unterbrochen werden können";"im Ausland andere Funkdienste stören können";"nur im Notfall durch Landfunkstellen unterbrochen werden können";"den AIS-Empfang stören können"
"Was hat eine Schiffsfunkstelle im Verkehr mit Nautische Information zu beachten?";"Sendeleistung reduzieren";"Hörbereitschaft auf Kanal 13 sicherstellen";"Anweisungen sind zu befolgen";"Nachrichten auf Kanal 16 austauschen";"Anweisungen sind zu befolgen"
"Was kann die Funkverbindung zwischen Schiffsfunkstelle und Seefunkstelle beeinträchtigen?";"Seefunkstelle kann ATIS-Aussendung nicht auswerten";"Schiffsfunkstelle kann AIS-Aussendung nicht auswerten";"Seefunkstelle sendet nur mit automatisch reduzierter Leistung";"Schiffsfunkstelle sendet auf bestimmten Kanälen nur mit automatisch reduzierter Leistung";"Schiffsfunkstelle sendet auf bestimmten Kanälen nur mit automatisch reduzierter Leistung"
"Warum dürfen Seefunkstellen mit Seefunkanlage nicht am Binnenschifffahrtsfunk teilnehmen?";"Seefunkanlagen nutzen anderes Frequenzband";"Seefunkanlagen ermöglichen Hörbereitschaft auf 16 und 70";"Seefunkanlagen haben DSC, nicht ATIS-kompatibel";"Seefunkanlagen haben keine automatische Leistungsreduzierung und können keinen ATIS-Code aussenden";"Seefunkanlagen haben keine automatische Leistungsreduzierung und können keinen ATIS-Code aussenden"
"Die Verwendung des Digitalen Selektivrufs (DSC) ist…";"im Binnenschifffahrtsfunk zulässig für Notalarme";"eingeführt zur Identifizierung von Schiffsfunkstellen";"eingeführt zur Verbindungsaufnahme";"im Binnenschifffahrtsfunk nicht zulässig";"im Binnenschifffahrtsfunk nicht zulässig"
"Welche Sprache muss bei Verbindungen zwischen deutschen Schiffsfunkstellen und ausländischen Landfunkstellen benutzt werden?";"Vorrangig Englisch";"Sprache des Landes der Landfunkstelle";"Heimatsprache des Funkers";"Vorrangig Deutsch";"Sprache des Landes der Landfunkstelle"
"Was ist bei Testsendungen im Binnenschifffahrtsfunk zu beachten?";"Nur außerhalb der Hoheitsgewässer";"Maximal 10 Sekunden, Rufname der Funkstelle, danach Wort Test";"Maximal 20 Sekunden und Kennung";"Nur einmal nach Einbau ohne Antenne";"Maximal 10 Sekunden, Rufname der Funkstelle, danach Wort Test"
"Wann müssen Meldungen grundsätzlich bestätigt werden?";"Immer";"Bei Verständigungsschwierigkeiten";"Nie";"Auf Verlangen";"Auf Verlangen"
"Woran erkennt man, welcher UKW-Kanal im Schleusenbereich zu benutzen ist?";"Durchsage der Revierzentrale";"Tafelzeichen";"Lichtzeichen der Schleuse";"Schwimmende Schifffahrtszeichen";"Tafelzeichen"
"Welche Bedeutung hat ein weißes Tafelzeichen mit rotem Rand und Aufschrift UKW 20 oder VHF 20?";"Hinweis Schiff–Schiff auf Kanal 20";"Hinweis Kanal 20 für Berufsschifffahrt";"Gebot, UKW-Kanal 20 zu benutzen";"Gebot, 20 Watt Sendeleistung zu gewährleisten";"Gebot, UKW-Kanal 20 zu benutzen"
"Welche Bedeutung hat ein blaues Tafelzeichen mit weißer Aufschrift UKW 18 oder VHF 18?";"Gebot, Kanal 18 statt 10 zu benutzen";"Hinweis, dass Schiff–Schiff auf Kanal 18 abzuwickeln ist";"Hinweis auf den Nautischen Informationsfunk (NIF) auf UKW-Kanal 18";"Hinweis, dass Kanal 18 für Sportschifffahrt vorgesehen ist";"Hinweis auf den Nautischen Informationsfunk (NIF) auf UKW-Kanal 18"
